Mixture	colonocyte	plasma	AOM_tumor	squamous	CAF	Paneth-like	endothelial	macrophage	T_cell	neutrophil	B cell	erythroid	goblet	stem	enteroendocrine	P-value	Correlation	RMSE
P17508_112	0.882971499186226	0.00334599967805043	0.00485877269019058	0	0	0	0	0	0.000916260405767608	0	0	0	0.0874156792464582	0.0203565974978379	0.000135191295468972	0	0.761815868365979	0.774241887189422
P17508_119	0.656855024493494	0.00163903130383352	0.035687437118349	0	0	0	0	0	0.000277887683281451	0	0	0	0.108127744856054	0.196524228570458	0.000888645974530108	0	0.685560082897954	0.834504652017302
P17508_124	0.895333727876886	0.00231286260811454	0.0118347391121622	0	0	0	0	0	0.000873656384297269	0	0	0	0.0893713083571691	0	0.00027370566137116	0	0.737161218037225	0.783252120727133
P17508_153	0.914261155414453	0.00210232072213486	0.00858403422127793	0	0	0	0	0	0.00145001704237001	0	0	0	0.0376363157849439	0.0358845012704546	8.16555443658614e-05	0	0.550699254295258	0.860864866002958
P17508_175	0.502833505900644	0.00532117280564642	0.340290568752679	0.000819419828275645	0.00583474018335448	0.0742212214102717	0	0	0	0.00110056905392887	0	0	0.0237853489308874	0.0457934531343129	0	0	0.761394735426006	0.852028024351136
P17508_103	0.263841377969223	0.00258005702328678	0.485837271255183	0.00391563899961639	0.0254404525425257	0.0787702880753051	0	0.0142035266527608	0	0.00363445206389568	0	0	0	0.121776935418203	0	0	0.730627299759104	0.905163568464795
P17508_105	0.471926098707643	0.00136301990037966	0.363690658501976	0.0098272839731624	0.0186274636467784	0.0618530302604363	0	0.00588493025206476	0	0.00499327277143156	0	0	0	0.0618342419861279	0	0	0.792483529450889	0.85485755643979
P17508_161	0.517574435399966	0.00332253732854387	0.270159914408243	0.00354325819461034	0.0144634549207899	0.0605795728313981	0	0.00325161657492701	0	0.00401070629406359	0	0	0.0266448341726572	0.0964496698748007	0	0	0.772011653673421	0.845793550344777
P17508_164	0.202412948786903	0.00620532581590575	0.589744342587767	0.00816547272020013	0.0360662400293922	0.0158559461028363	0	0.0163228171839131	0	0.00211716021403893	0.00107981514692828	0	0	0.122029931412115	0	0	0.712206249240796	0.920018771698593
P17508_125	0.754137931671559	0.00377402793881232	0.0373529150541957	0	0	0.00100193114769951	0	0	0.00114223551433209	0	0	0	0.0582746120975928	0.143282585786797	0.00103376078901164	0	0.637379654786826	0.842782536465772
P17508_147	0.758821452493628	0.00213842417147611	0.0021557214882509	0	0	0	0	0	1.7658854233119e-05	0	0	0	0.130612448487465	0.104245200004768	0.00200909450017836	0	0.763807050713652	0.788229630531646
P17508_152	0.679394712320645	0.00118729591136134	0.0210869580707675	0	0	0	0	0	0	0	0	0	0.182409830065579	0.113628432891566	0.00229277074008112	0	0.738823953844372	0.803760791147389
P17508_170	0.783087069754243	0.00247531039415827	0.0353800557519737	0	0	0	0	0	0	0	0	0	0.157586515080134	0.0195797437581562	0.00189130526133444	0	0.758453106711418	0.784755616099632
P17508_172	0.835458940397718	0.00254883989661274	0.00996133101578476	0	0	0	0	0	0.000147748346947125	0	0	0	0.11215335035759	0.036980172718712	0.00274961726663478	0	0.721419628059577	0.796313423889817
P17508_115	0.922816507378431	0.00119338583297421	0.0132605898655126	0	0	0	0	0	0.00136339488291122	0	0	0	0.0351933557913638	0.0258765620479394	0.000296204200867642	0	0.595901405838958	0.842264863521058
